,source,cos_sim,target
14813,"Антракт – это когда одно кончилось, а другое еще не началось. ",0.7636089797411034,"Антракт — это когда одно отделе ние кончилось, а другое ещё не началось. "
2280,"— Вот видите, зачем же вы тогда отогнали меня? ",0.6911624066924047,"— Вот видите, зачем же вы тогда убежали от меня? "
23065,"— Вы, Казанзаки, мне всякой чушью голову не морочьте. ",0.3361760909498496,— Вы — Казанзаки? 
22856,"- кричала Аделаида: - все вместе и непременно князь с нами; не за чем вам уходить, милый вы человек! ",0.7182359793960674,"— кричала Аделаида. — Все вместе иобязательно князь с нами; незачем вам уходить, милый вы человек! "
18679,Нет среди пленных и советника Осман-паши пресловутого Али-бея. ,0.3627966861847815,То победил бы Осман-паша
15140,"Брат, вероятно, будет профессором, он все равно не станет жить здесь. ",0.9562447424179285,"Брат, вероятно, будет профессором, он всё равно не станет жить здесь. "
15015,— прошептал я. — Кто он? ,0.6032612110624727,— Кто он? 
8874,", нальют полблюдца молока – и все.",0.4111199977651777,"И ещё говорят, что я обжора… Дают только косточку от котлет ки, наливают полблюдца молока — и всё. "
10319,"Потому что в памяти моей она напечатлелась, как сладкий сон, который долго помнишь после пробуждения; потому что я вечно буду помнить тот миг, когда вы так братски открыли мне свое сердце и так великодушно приняли в дар мое, убитое, чтоб его беречь, лелеять, вылечить его... ",0.7405684294855843,"Потому что в памяти моей она осталась, как сон, который долго помнишь, потому что я вечно буду помнить тот миг, когда вы так братски открыли мне своё сердце и приняли моё, убитое, чтоб вылечить его."
19081,"— Ого, да здесь весело! ",0.3584717478130045,Да у вас тут весело! 
2505,"Связь ее с этим кругом держалась чрез княгиню Бетси Тверскую, жену ее двоюродного брата, у которой было сто двадцать тысяч дохода и которая с самого появления Анны в свет особенно полюбила ее, ухаживала зa ней и втягивала в свой круг, смеясь над кругом графини Лидии Ивановны",0.6359229091408118,"Связь её с этим кругом держалась через княгиню Бетси Тверскую, которая с самого появления Анны в свете особенно полюбила её. "
12611,"Ямщику вздумалось ехать рекою, что должно было сократить нам путь тремя верстами. ",0.6798796322733397,"Ямщик решил ехать рекой, что должно было сократить нам путь. "
21670,Ей-богу! ,0.4245275100632016,Я не могу! 
21609,"- О-очень при-ятно, - заметил тот, - и очень помню даже. ",0.7480152964237087,"— О-очень при-ятно, — заметил тот, — и помню даже. "
3369,Вернулся из Туркестана. ,0.75409454240389,Приехал из Туркестана. 
5493,— Какого же цвета у него было платье?,0.4742755159775269,Какого цвета у него была одежда? 
10272,"Представиться ей, подбиться в её милость, – пожалуй, сделаться её любовником, но на это требуется время – а ей восемьдесят семь лет, – она может умереть через неделю, —да через два дня!.. ",0.7452625816460626,"Представиться ей, понравиться, может быть, сделаться её любовником, но на это всё требуется время, а ей восемьдесят семь лет, она может умереть через неделю, через два дня!.. "
15343,"Причины знать тебе не нужно, и я их не скажу. ",0.3410400527171606,И я ничего не скажу. 
2584,"Что я тебе приказывал, растакой с… с… Боцман подскочил к снасти, раздернул ее и сдержанно сердито воркнул: — Чего копались тут, такие-сякие, словно клопы в кипятке? ",0.6236910445962486,"Боцман подбежал к снасти, раздёрнул её и крикнул: — Что копались тут, такие-сякие, как клопы в кипятке? "
21007,"— П-полагаю, пресловутый перстень, по-румынски inel. 20 июля Лукан его проиграл, 29-го отыграл обратно",0.5926133251489343,Кольцо по-румынски «inel». 20 июля Лукан его проиграл. 29-го вернул
521,"- обратился генерал к Гане, который тем временем вынул из своего портфеля и подал ему фотографический портрет большого формата: - ба! ",0.8628581023013402,"— обратился генерал к Гане, который вынул из своего портфеля и подал ему фотографический портрет большого формата: — Ба!"
5837,"Я буду говорить откровенно, быть может, иногда несколько резко… вас покоробит от моих слов, но вы не сердитесь, друже… Вы знаете мои к вам чувства: люблю вас больше всех в уезде и уважаю… Говорю вам не ради упрека и осуждений, не для того, чтоб колоть вас. ",0.388605959081672,"Вы знаете, что я люблю и уважаю вас больше всех в этом уезде. "
18821,Однако принятое ею письмо беспокоило её чрезвычайно. ,0.4873833824328113,"Однако письмо, которое она приняла, очень беспокоило её. "
70,"- Не национальное; хоть и по-русски, но не национальное; и либералы у нас не русские, и консерваторы не русские, все… И будьте уверены, что нация ничего не признает из того, что сделано помещиками и семинаристами, ни теперь, ни после… - Вот это хорошо! ",0.6657967062641591,"— Хоть и по-русски, но не национальное; и либералы у нас не русские, и консерваторы не русские, все"
22991,"Так и жили — я в походах, она в столице. ",0.3159703025420367,"Жить стали так: я — на войне, она — в столице. "
13043,"Ведь у вас семья не бог весть как велика… Раз, два… да и обчелся… — Какие вы, все мужчины, странные! ",0.4569722906548642,"— У вас маленькая семья… — Какие вы, все мужчины, странные! "
22306,"— Вы льстите покойнику, Варвара Андреевна. ",0.4067787246703053,"— Варвара Андреевна, Лукан не был таким уж умным. "
5342,"Привезли на рассвете в аул, посадили на улице. ",0.6462043335397717,"Привезли рано утром, посадили на улице. "
7448,"— Это, брат Эразм, долгая история.",0.6640808016598009,"— Это, Эраст, долгая история. "
20313,"Андрей был бы хорош, только он располнел очень, это к нему не идет. ",0.928709621902347,"Андрей был бы хорош, только он располнел очень, это к нему не идёт. "
14412,"Вы познакомились с Надеждой Николаевной и стали ездить к мировому чуть ли не каждый день… Бывало, когда ни придешь, вы вечно там… Прием оказывался вам самый радушный. ",0.571756381601057,Потом вы познакомились с Надеждой Николаевной и стали ездить к ним почти каждый день. 
1283,"Я признаю, как ты знаешь, ревность чувством оскорбительным и унизительным и никогда не позволю себе руководиться этим чувством; но есть известные законы приличия, которые нельзя преступать безнаказанно. ",0.6194716900317919,"Алексей Александрович помолчал и потёр рукой лоб и глаза. — Я вот что хочу сказать, — продолжал он холодно и спокой но. — Я признаю ревность чувством унизительным и никог да не разрешу себе руководиться этим чувством; но есть известные законы приличия, которые нельзя нарушить безнаказанно. "
3488,"Жаждал свободной любви, а не рабских восторгов невольника пред могуществом, раз навсегда его ужаснувшим. ",0.7366979671065486,"Жаждал свободной любви, а не рабских восторгов невольника. "
23291,"Теперь он стал все веселее и лучше, чем весною.",0.8782144513256187,"Теперь он стал веселее и лучше, чем весной. "
11571,"(Аглая не отнимала руки.) - Так ты, стало быть, любишь этого… молодого человека?..",0.5019043164393459,"— целовал её руку повеселевший от счастья генерал. — Так ты, стало быть, любишь этого... молодого человека?.."
13363,"Да, низкий, гадкий человек! ",0.6390159498611631,Низкий человек! 
20856,"Знала ведь, что на войну едешь, а не в Павловское на гуляние. ",0.3623815282413237,"«Знала ведь, что на войну приехала, а не на праздник», — говорила Варя себе. "
19349,"Каждому твоему слову верю и знаю, что ты меня не обманывал никогда и впредь не обманешь; а я тебя все-таки не люблю. ",0.9592499956020568,"Каждому твоему слову верю и знаю, что ты меня не обманывал никогда и впредь не обманешь; а я тебя всё-таки не люблю. "
10511,"Только все был не он, не приходил. ",0.8165021208654198,"Только всё был не он, он не приходил."
7768,Я никак не ожидал подобной развязки,0.4433713185849904,Я никак не ожидал такого конца
15522,Для получения этого последнего берется окружность в три вершка в диаметре. ,0.6144907416349104,Для получения его берётся окружность в пятнадцать сантиметров в диаметре. 
19963,Алексей Александрович раскланялся и вышел.,0.6613115627802654,Алексей Александрович попро щался и вышел.
21685,"- крикнула Настасья Филипповна. - Браво, Птицын, я вас поздравляю!",0.7254688181155478,"— воскликнула Настасья Филипповна. — Браво, я вас поздравляю!"
6731,Человек он умный. ,0.3717694138263475,"Фандорин умный, смелый, решительный. "
3102,"Помещичьи или семинарские… Вы опять смеетесь, и вы смеетесь, князь? ",0.4640412163757126,"Вы опять смеётесь, и вы смеётесь, князь?"
22948,И вышла из детской.,0.9761943865836024,И вышла из детской. 
6790,"«Приезжай, Бог милостив», писала она.",0.6577467738657369,"«Приезжай, Бог поможет», — писала она. "
272,Она где-то в саду… Я пойду поищу ее.,0.6484042495724737,Я пойду поищу её.
7050,"Сколько раз, оставя тихонько скучную и пышную гостиную, она уходила плакать в бедной своей комнате, где стояли ширмы, оклеенные обоями, комод, зеркальце и крашеная кровать и где сальная свеча темно горела в медном шандале!",0.5331901217647114,"Сколько раз, оставив тихонько скучную богатую гостиную, она уходила плакать в бедной своей комнате!"
12097,- Да что у вас тут такое? ,0.5951180085153329,"Говорят, что умнее вас и на свете нет... — Да что у вас тут такое? "
1808,"Все машут лапами, посылают безвоздушные поцелуи. ",0.7925227002071722,Все машут руками и посылают воздушные поцелуи. 
1333,— «Люб-лю гро-зу в на-ча-ле мая!» ,0.8144048841988815,Она пела высоким сопрано «Люб-лю гро-зу в на-ча-ле мая!» 
5509,— подумал Фандорин. ,0.3907182982341121,– закричал Фандорин и снова пошёл к воде
18927,У нас полон дом людей. ,0.7640135018543628,У нас полный дом людей. 
4771,"Но, несмотря на всё это, Левин думал, что дело шло и что, строго ведя счеты и настаивая на своем, он докажет им в будущем выгоды такого устройства и что тогда дело пойдет само собой.",0.513807300442472,"Но, несмотря на всё это, Левин думал, что дело пошло. "
3541,У Епанчиных была богатая собственная дача в Павловске. ,0.8573999529565128,"У Епанчиных была богатая собственная дача в Павловске, куда они и переехали."
21114,– А где воротник? ,0.6636778768820756,— А где воротник? 
8638,Соленый. ,0.5574285656543082,Солёный. 
18757,"Они не знают, что я жив — это раз. ",0.3265781412320923,Это раз. 
3020,"Вот и вспомнила, что вы, мой мальчик, давно мечтали об эксперименте с человеческим материалом. ",0.452342961167462,"Я вспомнила, что вы мечтали об эксперименте над человеком"
10219,"Хотя она и считала, что с его гордостью ему должны быть неприятны похвалы его дома и сада, она, не находя другого предмета разговора, все-таки сказала ему, что ей очень понравился его дом",0.9208442313005422,"Хотя она и считала, что Вронскому с его гордостью должны быть неприятны похвалы его дома и сада, она, не находя другого предмета разговора, всё-таки сказала ему, что ей очень понравился его дом"
23410,"Это был Петр Егорыч Урбенин, бывший управляющий графа и муж Ольги. ",0.8031961908341723,"Это был Урбенин, бывший управляющий графа и муж Ольги. "
15538,А теперь что?,0.9410862584691252,А теперь что? 
20772,Трам-там.,0.9704142732162762,Трам-там-там.
16276,— взволнованным шопотом сказала Каренина.,0.780206504973226,— взволнованным шёпотом сказала Каренина. 
14490,"Я им все говорил, ничего от них не утаивал. ",0.6865288135556734,"Я им всё говорил, ничего от них не скрывал. "
5628,Сегодня все утро гулял с гимназистами. ,0.9326559588388148,Сегодня всё утро гулял с гимназистами. 
22807,"Очевидно, любовник Бежецкой. ",0.4263537090727288,Дворник привёл его к дому Бежецкой. 
8942,"Она поняла то, что ее удерживало от этого; она поняла, что ей было стыдно. ",0.9457577133696712,"Она поняла то, что её удерживало от этого; она поняла, что ей было стыдно. "
14149,"— Ну, и чем же кончилось? ",0.8057727536222785,"— Ну, и чем же кончилось?"
19883,"Не может он меня ненавидеть, и не мог он так сказать! ",0.9732835467204304,"— Не может он меня ненавидеть, и не мог он так сказать! "
6619,"Мы замолчали и чувствовали, как между нами и милыми итальянцами, полчаса назад восторгавшимися нашей родиной, легла глубокая, темная пропасть взаимного недоверия и непонимания.",0.8070826297293381,"Мы замолчали и чувствовали, как между нами и милыми итальянцами легла глубокая тёмная пропасть взаимного недоверия и непонимания. "
3872,"– Воздвиженское, на барский двор? ",0.5091210733295894,— Воздвиженское? 
7604,"Первое время женитьба, новые радости и обязанности, узнанные им, совершенно заглушили эти мысли; но в последнее время, после родов жены, когда он жил в Москве без дела, Левину все чаще и чаще, настоятельнее и настоятельнее стал представляться требовавший разрешения вопрос.",0.4601767587572513,"Первое время женитьба, новые радости и обязанности, узнанные им, не давали ему думать об этом. "
16474,"Одна из дам, встречавших добровольцев, выходя из залы, обратилась к Сергею Ивановичу",0.3733027118705834,"Одна из дам, встречавших солдат из Сербии, выходя из зала, сообщила Степану Аркадьичу, что Вронский едет этим поездом на войну"
11821,"В Париже его просто носят на руках. — Фандорин дотронулся рукой до виска, и Варя внезапно заметила, какой у него бледный, усталый вид. — я очень торопился вернуться, но триста верст от Софии до Германлы у меня заняли больше времени, чем полторы тысячи верст от Парижа до Софии. ",0.3153318964328148,В Париже его любят и носят на руках.
22277,"Маша встает, берет подушку и уходит, сердитая.",0.805358831739462,"Маша встаёт, берёт подушку и уходит, сердитая."
1550,– сказал Степан Аркадьич,0.5408994470497684,"— улыбаясь, сказал Степан Аркадьич. — Не из принципа, а зачем? "
15198,Честность – западноевропейский идеал. ,0.878756700747251,Честность — западноевропейский идеал. 
18972,"И она, удивляясь тому, что прежде ей казалось это невозможным, объясняла им, смеясь, что это гораздо проще и что они оба теперь довольны и счастливы. ",0.7974852632876787,"И Алексей Вронский был тут же, и она, удивляясь тому, что раньше ей казалось это невозможным, объясняла им, смеясь, что это намного проще и что они оба теперь довольны и счастливы. "
12996,"- обернулся к ней вдруг Ганя, заслышав, что она встает с места. - Подожди; посмотри-ка это.",0.7225947961685654,— повернулся к ней вдруг Ганя. — Подожди; посмотри-ка это. 
12338,"XII Проводив гостей, Анна, не садясь, стала ходить взад и вперед по комнате. ",0.7687115992133673,"Проводив гостей, Анна, не садясь, стала ходить по комнате. "
3879,Он махнул рукой и сказал: – Не стоит. ,0.8676079925562752,Он махнул рукой и сказал: — Не стоит. 
15817,"Правильно, Анвар-эфенди. ",0.4811190481291174,"Посол считал, что Анвар-эфенди всё сделал красиво, как в шахматах. "
8751,– Очень. ,0.5058895160164646,— Очень. 
7078,"Усы у него были мокрые, и весь поцелуй дышал маринованной корюшкой, которую подавали за ужином.",0.4542360293391452,Усы у него были мокрые. 
21320,"— закричала бабушка, — да это тот самый «Цирюльник», которого в старину давали? ",0.7284792943381911,"— закричала бабушка, — да это тот самый цирюльник, которого в старину давали?"
2127,"Письма, пришедшие сегодня в гостиницу на имя мисс Ольсен, были из Рио-де-Жанейро, Вашингтона и Штутгарта. ",0.5975379658503847,"У портье лежало три письма на имя мисс Ольсен: из Штутгарта, из Вашингтона и из Рио-де-Жанейро! "
21090,"Зная, что что-то случилось, но не зная, что именно, Вронский испытывал мучительную тревогу и, надеясь узнать что-нибудь, пошел в ложу брата. ",0.5838949935449375,Вронский испытывал мучительную тревогу и пошёл в ложу. 
